,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2016,,,,,,,,,Year,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of PM2.5 Emissions tpa,Zone,,,,,,,,,Sum of PM2.5 Emissions tpa,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater London,,,Greater London Total,External,LAEI (Grand Total),,,,Source,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,
,STW, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,WTS, 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	-   , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	-   , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 ,
,WTS, 	0.0 , 	0.1 , 	0.2 , 	0.3 , 	0.0 , 	0.3 ,,,,Miscellaneous, 	2.2 , 	2.9 , 	2.8 , 	3.0 , 	5.3 , 	1.7 , 	0.3 , 	2.8 , 	3.2 , 	4.2 , 	2.4 , 	2.7 , 	1.7 , 	2.0 , 	1.6 , 	2.2 , 	3.9 , 	5.3 , 	3.6 , 	1.6 , 	1.3 , 	1.4 , 	2.1 , 	2.0 , 	1.5 , 	2.7 , 	2.2 , 	2.7 , 	2.3 , 	1.3 , 	3.0 , 	1.9 , 	2.5 , 	13.1 ,
,Miscellaneous, 	3.2 , 	24.6 , 	54.7 , 	82.5 , 	13.1 , 	95.6 ,,,,Accidental Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accidental Fires,,,,,,,,,,Accidental Fires, 	2.0 , 	2.3 , 	2.5 , 	2.9 , 	4.2 , 	1.6 , 	0.3 , 	2.8 , 	2.9 , 	4.1 , 	1.6 , 	2.5 , 	1.6 , 	2.0 , 	1.4 , 	2.0 , 	3.2 , 	4.8 , 	3.4 , 	1.5 , 	1.3 , 	1.2 , 	2.1 , 	1.8 , 	1.3 , 	2.6 , 	1.7 , 	2.4 , 	2.2 , 	1.1 , 	2.9 , 	1.7 , 	2.5 , 	3.8 ,
,Accidental Fires, 	3.2 , 	23.5 , 	47.6 , 	74.2 , 	3.8 , 	78.0 ,,,,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture,,,,,,,,,,Agriculture, 	0.2 , 	0.5 , 	0.3 , 	0.1 , 	1.1 , 	0.1 , 	-   , 	0.1 , 	0.4 , 	0.1 , 	0.9 , 	0.2 , 	0.1 , 	0.0 , 	0.2 , 	0.2 , 	0.7 , 	0.6 , 	0.2 , 	0.1 , 	0.0 , 	0.2 , 	0.1 , 	0.2 , 	0.1 , 	0.2 , 	0.5 , 	0.2 , 	0.1 , 	0.2 , 	0.1 , 	0.2 , 	0.1 , 	9.3 ,
,Agriculture, 	0.0 , 	1.2 , 	7.1 , 	8.3 , 	9.3 , 	17.6 ,,,,Forestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forestry,,,,,,,,,,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Forestry, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Resuspension, 	0.9 , 	2.2 , 	1.1 , 	1.2 , 	1.3 , 	0.8 , 	0.3 , 	1.4 , 	1.3 , 	1.7 , 	2.6 , 	1.4 , 	0.7 , 	0.6 , 	0.7 , 	0.7 , 	2.7 , 	2.6 , 	1.5 , 	0.6 , 	0.6 , 	0.8 , 	1.0 , 	0.9 , 	0.7 , 	1.2 , 	1.5 , 	0.8 , 	1.0 , 	0.6 , 	1.0 , 	1.0 , 	0.9 , 	21.1 ,
,Resuspension, 	1.4 , 	10.4 , 	26.7 , 	38.5 , 	21.1 , 	59.6 ,,,,Resuspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
