,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions – PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions – PM2.5 Summary by Borough (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM2.5 Emissions (tonnes/annum),Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLA,,,GLA Total,Non GLA,LAEI (Grand Total),,,,PM2.5 Emissions (tonnes/annum),Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,Central,Inner,Outer,,,,,,,Row Labels,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,Grand Total,
,NRMM Exhaust, 	2.89 , 	16.24 , 	14.61 , 	33.74 , 	0.05 , 	33.79 ,,,,NRMM Exhaust, 	0.27 , 	1.36 , 	0.61 , 	1.20 , 	0.74 , 	2.68 , 	0.33 , 	2.55 , 	1.91 , 	1.81 , 	0.33 , 	0.70 , 	1.22 , 	0.95 , 	0.66 , 	0.74 , 	0.50 , 	1.41 , 	1.01 , 	0.71 , 	0.82 , 	0.58 , 	1.27 , 	0.67 , 	0.80 , 	0.97 , 	0.56 , 	0.60 , 	1.22 , 	0.48 , 	1.59 , 	0.61 , 	1.88 , 	0.05 , 	33.79 ,
,Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Natural Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Natural Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Industrial Processes, 	4.90 , 	92.37 , 	141.75 , 	239.02 , 	27.79 , 	266.81 ,,,,Industrial Processes, 	16.39 , 	5.68 , 	23.55 , 	10.94 , 	3.58 , 	2.30 , 	0.97 , 	3.15 , 	3.95 , 	10.40 , 	18.04 , 	18.37 , 	2.14 , 	2.66 , 	1.10 , 	0.62 , 	5.20 , 	14.96 , 	8.37 , 	2.12 , 	1.00 , 	2.54 , 	1.14 , 	4.44 , 	7.39 , 	12.51 , 	4.17 , 	2.32 , 	2.17 , 	9.87 , 	25.18 , 	1.59 , 	10.20 , 	27.80 , 	266.81 ,
,NRMM Exhaust, 	4.87 , 	16.02 , 	15.60 , 	36.50 , 	8.24 , 	44.74 ,,,,NRMM Exhaust, 	0.68 , 	1.23 , 	1.02 , 	2.07 , 	0.87 , 	2.02 , 	0.94 , 	3.15 , 	0.53 , 	2.28 , 	1.84 , 	1.23 , 	0.92 , 	0.58 , 	1.10 , 	0.45 , 	0.90 , 	1.82 , 	1.45 , 	0.90 , 	0.67 , 	0.50 , 	0.44 , 	0.30 , 	0.85 , 	1.14 , 	0.66 , 	0.50 , 	0.90 , 	0.57 , 	1.99 , 	1.32 , 	0.66 , 	8.25 , 	44.74 ,
,Part A1, 	0.03 , 	25.59 , 	21.32 , 	46.94 , 	19.36 , 	66.30 ,,,,Part A1, 	2.42 , 	-   , 	10.90 , 	0.60 , 	-   , 	-   , 	0.03 , 	-   , 	0.09 , 	0.09 , 	4.52 , 	0.13 , 	-   , 	-   , 	-   , 	0.02 , 	0.03 , 	0.20 , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.47 , 	-   , 	4.29 , 	-   , 	-   , 	-   , 	0.63 , 	19.52 , 	-   , 	-   , 	19.36 , 	66.30 ,
,Part A2 / B, 	-   , 	50.76 , 	104.83 , 	155.59 , 	0.18 , 	155.77 ,,,,Part A2 / B, 	13.29 , 	4.45 , 	11.64 , 	8.27 , 	2.72 , 	0.28 , 	-   , 	-   , 	3.34 , 	8.03 , 	11.68 , 	17.01 , 	1.22 , 	2.08 , 	-   , 	0.15 , 	4.27 , 	12.93 , 	6.92 , 	1.22 , 	0.33 , 	2.04 , 	0.70 , 	0.67 , 	6.54 , 	7.07 , 	3.51 , 	1.82 , 	1.27 , 	8.68 , 	3.66 , 	0.27 , 	9.55 , 	0.18 , 	155.77 ,
,Waste, 	0.19 , 	6.38 , 	57.52 , 	64.10 , 	28.98 , 	93.07 ,,,,Waste, 	0.91 , 	5.57 , 	3.03 , 	2.67 , 	6.95 , 	0.40 , 	0.01 , 	0.29 , 	4.37 , 	3.20 , 	4.16 , 	1.58 , 	0.12 , 	0.11 , 	0.89 , 	3.96 , 	4.19 , 	5.72 , 	2.33 , 	0.10 , 	0.09 , 	1.79 , 	0.37 , 	0.90 , 	1.43 , 	0.26 , 	1.84 , 	1.79 , 	0.38 , 	3.15 , 	0.13 , 	0.80 , 	0.60 , 	28.98 , 	93.07 ,
,Landfill, 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 ,,,,Landfill, 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	-   , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	-   , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 , 	0.00 ,
,Small Scale Waste Burning, 	0.19 , 	6.29 , 	57.38 , 	63.86 , 	28.95 , 	92.81 ,,,,Small Scale Waste Burning, 	0.89 , 	5.56 , 	3.03 , 	2.67 , 	6.95 , 	0.40 , 	0.01 , 	0.29 , 	4.36 , 	3.19 , 	4.15 , 	1.57 , 	0.12 , 	0.11 , 	0.88 , 	3.96 , 	4.18 , 	5.70 , 	2.33 , 	0.09 , 	0.09 , 	1.78 , 	0.37 , 	0.89 , 	1.41 , 	0.25 , 	1.81 , 	1.79 , 	0.38 , 	3.15 , 	0.13 , 	0.79 , 	0.58 , 	28.96 , 	92.81 ,
